"Time","Microsoft Latency"
1475183307222710495,695880048
1475183306822710495,1113788144
1475183307122710495,815859904
1475183306922710495,1016467712
1475183307422710495,516610976
1475183306722710495,1218613760
1475183306422710495,1518787936
1475183306622710495,1321914416 
1475183307022710495,925826576
1475183306522710495,1432987072
1475183307322710495,647062416
1475183306322713839,1656999520
1475183307522710495,664317104
1475183307622710495,567659152
1475183307722710495,525491488
1475183307822710495,481158272
1475183307922710495,475779856
1475183308022710495,460629328
1475183308122710495,473824464
1475183308322710495,330387648
1475183308222710495,562397248
1475183308422710495,401806800
1475183308522710495,404039488
1475183308622710495,311533120
1475183308722710495,285599648
1475183308822710495,321759008
1475183308922710495,271954208
1475183309022710495,277581024
1475183309122710495,290389664
1475183309222710495,266355712
1475183309322710495,302651424
1475183309422710495,281478976
1475183309522710495,317042608
1475183309622710495,335809168
1475183309722710495,302874560
1475183309822710495,334085376
1475183309922710495,314382192
1475183310022710495,354760608
1475183310122710495,351197344
1475183310222710495,274010080
1475183310322710495,319252576
1475183310422710495,364903040
1475183310522710495,301199424
1475183310622710495,297853248
1475183310722710495,332475056
1475183310822710495,291129392
1475183310922710495,281702896
1475183311022710495,315757408
1475183311122710495,301467168
1475183311222710495,348663808
1475183311322710495,278074672
1475183311422710495,351810336
1475183311522710495,341470000
1475183311622710495,320833056
1475183311722710495,317482000
1475183311822710495,265399744
1475183311922710495,287881536
1475183312022710495,269122944
1475183312122710495,302215632
1475183312222710495,313809440
1475183312322710495,288789200
1475183312422710495,279680512
1475183312522710495,327070576
1475183312622710495,288081632
1475183312722710495,289785520
1475183312822710495,339686768
1475183312922710495,264179056
1475183313022710495,305634464
1475183313122710495,311536336
1475183313222710495,289848800
1475183313322710495,261390720
1475183313422710495,279860640
1475183313522710495,287450368
1475183313622710495,332797856
1475183313722710495,256603744
1475183313822710495,259147104
1475183313922710495,260873760
1475183314022710495,321026416
1475183314122710495,349283152
1475183314222710495,287047952
1475183314322710495,395973744
1475183314422710495,330563248
1475183314522710495,262431104
1475183314622710495,314242976
1475183314722710495,326974944
1475183314822710495,269508240
1475183314922710495,280653200
1475183315022710495,268157360
1475183315122710495,267879296
1475183315222710495,265551200
1475183315322710495,258406064
1475183315422710495,462645264
1475183315522710495,373215616
1475183315622710495,293090480
1475183315722710495,326352032
1475183315822710495,303787056
1475183315922710495,297732432
1475183316022710495,293024064
1475183316122710495,294336784
1475183316222710495,283467616
1475183316322710495,274991952
1475183316422710495,344640864
1475183316522710495,343686992
1475183316622710495,492207232
1475183316722710495,561723360
1475183316822710495,476484448
1475183316922710495,427087824
1475183317022710495,449361744
1475183317222710495,321752352
1475183317122710495,427487584
1475183317322710495,489608064
1475183317422710495,463101216
1475183317522710495,390615376
1475183317622710495,368030528
1475183317722710495,301463280
1475183317822710495,352694960
1475183317922710495,371218816
1475183318022710495,419937872
1475183318122710495,547726688
1475183318222710495,566209584
1475183318422710495,429581120
1475183318522710495,332050000
1475183318322710495,543943136
1475183318622710495,272611248
1475183318722710495,285475632
1475183318822710495,395740960
1475183318922710495,360871424
1475183319022710495,436166864
1475183319122710495,336388960
1475183319222710495,431362416
1475183319322710495,421377264
1475183319422710495,349457744
1475183319522710495,298585168
1475183319622710495,264019280
1475183319722710495,385347296
1475183319822710495,317218624
1475183319922710495,287477104
1475183320022710495,289134656
1475183320122710495,280081184
1475183320222710495,287270048
1475183320322710495,268720144
1475183320422710495,281401440
1475183320522710495,296957088
1475183320622710495,337042592
1475183320722710495,383418032
1475183320822710495,364853520
1475183320922710495,373199808
1475183321022710495,303415792
1475183321122710495,334377760
1475183321222710495,310497568
1475183321322710495,381659008
1475183321422710495,340487920
1475183321522710495,321383968
1475183321622710495,326571584
1475183321722710495,288519952
1475183321822710495,277308576
1475183321922710495,266392640
1475183322122710495,321891792
1475183322022710495,431960512
1475183322222710495,345511104
1475183322322710495,351868672
1475183322422710495,295849536
1475183322522710495,297612448
1475183322622710495,368255936
1475183322722710495,338995376
1475183322822710495,290721392
1475183323022710495,291682752
1475183322922710495,441642192
1475183323122710495,671797808
1475183323222710495,609171712
1475183323322710495,568113536
1475183323622710495,414390928
1475183323522710495,527717648
1475183323422710495,652488032
1475183323822710495,293242224
1475183323722710495,494677936
1475183323922710495,306674768
1475183324122710495,335351344
1475183324022710495,529767952
1475183324222710495,446050240
1475183324422710495,336500128
1475183324322710495,454772176
1475183324522710495,308194960
1475183324622710495,342625056
1475183324722710495,385575456
1475183324822710495,330182976
1475183324922710495,262115792
1475183325022710495,303873248
1475183325122710495,284338352
1475183325222710495,273674688
1475183325322710495,275468992
1475183325422710495,344260016
1475183325522710495,367194800
1475183325622710495,324059808
1475183325722710495,343434032
1475183325822710495,291155296
1475183325922710495,341645552
1475183326022710495,309527792
1475183326122710495,407471216
1475183326222710495,339063056
1475183326322710495,316794192
1475183326422710495,335400128
1475183326522710495,355213232
1475183326622710495,452660128
1475183326722710495,354801648
1475183326922710495,313800384
1475183326822710495,445426656
1475183327122710495,281383168
1475183327222710495,342008480
1475183327022710495,543301824
1475183327422710495,313077552
1475183327322710495,440989328
1475183327522710495,264349232
1475183327622710495,345220304
1475183327822710495,320959856
1475183327722710495,493311568
1475183328022710495,352555040
1475183327922710495,508255872
1475183328122710495,336190512
1475183328322710495,317434160
1475183328222710495,450002176
1475183328422710495,266330704
1475183328522710495,302148320
1475183328622710495,299518592
1475183328722710495,352742576
1475183328822710495,289370336
1475183328922710495,330708864
1475183329022710495,333443440
1475183329122710495,461078496
1475183329222710495,410833488
1475183329522710495,339086896
1475183329322710495,575549872
1475183329422710495,501081744
1475183329622710495,320933872
1475183329722710495,361278016
1475183329822710495,338367744
1475183329922710495,344511184
1475183330022710495,296168224
1475183330122710495,322399376
1475183330222710495,531706672
1475183330422710495,342973424
1475183330322710495,466416000
1475183330522710495,330818560
1475183330622710495,394227696
1475183330722710495,330671136
1475183330822710495,372567184
1475183331022710495,287510944
1475183330922710495,388146480
1475183331122710495,322583840
1475183331222710495,315296992
1475183331322710495,367065280
1475183331422710495,320094112
1475183331522710495,319746496
1475183331622710495,291117552
1475183331722710495,517392032
1475183331822710495,436902560
1475183331922710495,367392336
1475183332022710495,347889200
1475183332122710495,331931312
1475183332522710495,418259600
1475183332322710495,625306928
1475183332222710495,727594480
1475183332722710495,342618752
1475183332422710495,646519296
1475183332822710495,362643392
1475183332622710495,563599872
1475183333022710495,357901840
1475183332922710495,460356336
1475183333122710495,306768832
1475183333222710495,309327312
1475183333322710495,317156736
1475183333422710495,292163600
1475183333522710495,259162784
1475183333622710495,268963600
1475183333822710495,243642464
1475183333722710495,349486736
1475183334022710495,272949664
1475183333922710495,494568944
1475183334122710495,296839712
1475183334222710495,259212448
1475183334322710495,350030144
1475183334422710495,375581856
1475183334522710495,332875440
1475183334622710495,307033760
1475183334722710495,281873696
1475183334922710495,311666112
1475183335022710495,326306960
1475183334822710495,588353168
1475183335122710495,379539584
1475183335222710495,296468752
1475183335322710495,260738400
1475183335422710495,268367728
1475183335522710495,395122752
1475183335622710495,309913216
1475183335722710495,317381904
1475183335822710495,290411296
1475183335922710495,270136528
1475183336022710495,261813536
1475183336122710495,352415408
1475183336222710495,301466192
1475183336322710495,337031264
1475183336422710495,322070752
1475183336522710495,293467872
1475183336622710495,424827312
1475183336722710495,385187936
1475183336822710495,388787152
1475183337022710495,301000976
1475183336922710495,440653872
1475183337122710495,346093424
1475183337222710495,297313952
1475183337322710495,328660080
1475183337422710495,282382032
1475183337522710495,391390208
1475183337622710495,352427856
1475183337722710495,294059232
1475183337822710495,277885072
1475183337922710495,264910544
1475183338122710495,278469472
1475183338022710495,416892912
1475183338222710495,285289424
1475183338322710495,280255808
1475183338422710495,255899552
1475183338522710495,269982064
1475183338622710495,256939408
1475183338722710495,318795728
1475183338822710495,326883920
1475183338922710495,283413488
1475183339022710495,328439376
1475183339122710495,359149424
1475183339222710495,299249792
1475183339322710495,326730320
1475183339422710495,285837264
1475183339522710495,361042640
1475183339622710495,303636544
1475183339722710495,264624944
1475183339822710495,265091760
1475183339922710495,290109360
1475183340022710495,292651616
1475183340122710495,392096736
1475183340222710495,303825392
1475183340322710495,296929936
1475183340422710495,400893856
1475183340522710495,332830016
1475183340622710495,286979968
1475183340722710495,301830400
1475183340822710495,358424176
1475183340922710495,331147664
1475183341022710495,319236912
1475183341122710495,294820240
1475183341222710495,310426944
1475183341322710495,289338240
1475183341422710495,268644928
1475183341522710495,300777424
1475183341622710495,305782832
1475183341822710495,298994688
1475183341922710495,290852688
1475183341722710495,507490400
1475183342022710495,356123936
1475183342122710495,324214912
1475183342222710495,267845296
1475183342322710495,285136384
1475183342422710495,442139488
1475183342622710495,262657536
1475183342522710495,417183584
1475183342722710495,414764464
1475183342822710495,316515216
1475183342922710495,255765744
1475183343022710495,256401328
1475183343122710495,274510672
1475183343222710495,310379008
1475183343322710495,285108800
1475183343422710495,284127152
1475183343522710495,320858000
1475183343622710495,302618144
1475183343722710495,280564480
1475183343822710495,268668192
1475183343922710495,261596448
1475183344022710495,274748080
1475183344122710495,314145360
1475183344222710495,326531456
1475183344322710495,293193648
1475183344422710495,295131904
1475183344522710495,271117088
1475183344622710495,297897824
1475183344722710495,313452928
1475183344822710495,333398080
1475183344922710495,306219760
1475183345022710495,254211280
1475183345122710495,467515776
1475183345322710495,303604704
1475183345222710495,521824384
1475183345422710495,401967376
1475183345522710495,304416032
1475183345622710495,245496528
1475183345822710495,314890720
1475183345722710495,438832912
1475183345922710495,327060416
1475183346022710495,266257264
1475183346122710495,270829440
1475183346222710495,276157952
1475183346322710495,263586512
1475183346422710495,341535488
1475183346522710495,301128208
1475183346622710495,361699424
1475183346722710495,358253216
1475183346822710495,428145104
1475183346922710495,342437712
1475183347022710495,254550608
1475183347122710495,368757600
1475183347222710495,309208752
1475183347322710495,318563232
1475183347422710495,300615664
1475183347522710495,306833104
1475183347622710495,301725344
1475183347722710495,285267328
1475183347922710495,263410336
1475183347822710495,385426240
1475183348022710495,339659776
1475183348122710495,333147472
1475183348222710495,301869008
1475183348322710495,298171680
1475183348422710495,464078400
1475183348522710495,533564000
1475183348622710495,445918928
1475183348722710495,531746864
1475183348822710495,592843344
1475183348922710495,568040816
1475183349222710495,312703584
1475183349022710495,536949392
1475183349122710495,466309488
1475183349322710495,364930784
1475183349422710495,285747344
1475183349522710495,288660880
1475183349622710495,318138080
1475183349722710495,310880992
1475183349822710495,409173120
1475183349922710495,323462832
1475183350022710495,282200880
1475183350122710495,274966944
1475183350222710495,265425568
1475183350322710495,431988288
1475183350422710495,441668432
1475183350522710495,462375968
1475183350722710495,282903936
1475183350622710495,398392400
1475183350822710495,299046688
1475183350922710495,301671776
1475183351022710495,281926096
1475183351122710495,356826608
1475183351222710495,272023888
1475183351322710495,277975232
1475183351422710495,372271264
1475183351522710495,308644176
1475183351622710495,258937728
1475183351722710495,300201376
1475183351822710495,331188768
1475183351922710495,333875840
1475183352022710495,314399024
1475183352122710495,270926880
1475183352222710495,354490144
1475183352322710495,297470400
1475183352422710495,286830624
1475183352522710495,286702752
1475183352622710495,293459360
1475183352722710495,293434480
1475183352822710495,345934512
1475183352922710495,405114368
1475183353022710495,402339232
1475183353222710495,273310464
1475183353122710495,375534960
1475183353422710495,332567552
1475183353322710495,444325104
1475183353522710495,355180544
1475183353622710495,434899760
1475183353722710495,431574256
1475183353822710495,409773792
1475183353922710495,390805600
1475183354022710495,317251360
1475183354122710495,306071008
1475183354222710495,265569232
1475183354322710495,271649808
1475183354422710495,289177344
1475183354522710495,257761984
1475183354622710495,362625184
1475183354822710495,298720992
1475183354722710495,408259440
1475183355022710495,508903984
1475183354922710495,623533360
1475183355122710495,532640288
1475183355222710495,461652576
1475183355522710495,284387152
1475183355422710495,400039152
1475183355322710495,506847488
1475183355622710495,337548080
1475183355722710495,352150528
1475183355822710495,284876352
1475183355922710495,279977504
1475183356022710495,278440720
1475183356122710495,295126656
1475183356222710495,339303088
1475183356322710495,392401712
1475183356422710495,381123520
1475183356522710495,345228128
1475183356622710495,398739344
1475183356722710495,382011456
1475183356822710495,419372160
1475183356922710495,343089488
1475183357022710495,322557120
1475183357122710495,334787056
1475183357222710495,268484976
1475183357322710495,327366928
1475183357522710495,307843664
1475183357422710495,411419840
1475183357622710495,292126368
1475183357722710495,370670432
1475183357822710495,299937744
1475183357922710495,285229424
1475183358022710495,371480016
1475183358122710495,328899280
1475183358222710495,514563808
1475183358422710495,354822672
1475183358322710495,458474240
1475183358522710495,369817440
1475183358622710495,361049760
1475183358722710495,262806864
1475183358822710495,321967840
1475183358922710495,359428592
1475183359022710495,335077168
1475183359122710495,350292768
1475183359222710495,319786656
1475183359322710495,333642704
1475183359422710495,276450704
1475183359522710495,326029456
1475183359622710495,297308048
1475183359722710495,312044448
1475183359822710495,320689488
1475183359922710495,319068976
1475183360022710495,292959136
1475183360122710495,260083424
1475183360222710495,272412864
1475183360322710495,254975552
1475183360422710495,265218672
1475183360522710495,310054528
1475183360622710495,522532352
1475183360722710495,492708624
1475183360822710495,516915264
1475183360922710495,443940720
1475183361022710495,352244432
1475183361122710495,255065248
1475183361222710495,295319408
1475183361322710495,356726656
1475183361422710495,322691776
1475183361522710495,291332000
1475183361622710495,349783968
1475183361722710495,320540528
1475183361822710495,316719216
1475183361922710495,286977408
1475183362022710495,523873808
1475183362122710495,471201360
1475183362222710495,548007216
1475183362322710495,448215920
1475183362422710495,702774928
1475183362522710495,693239120
1475183362722710495,560144608
1475183363022710495,306872240
1475183362822710495,518594896
1475183362622710495,721471504
1475183362922710495,425370224
1475183363122710495,335654592
1475183363222710495,260637696
1475183363322710495,354391424
1475183363422710495,280924032
1475183363522710495,263371520
1475183363622710495,301766928
1475183363722710495,250775936
1475183363822710495,337081456
1475183363922710495,320507824
1475183364022710495,325947936
1475183364122710495,304522432
1475183364222710495,391984336
1475183364322710495,325098544
1475183364422710495,283039088
1475183364522710495,349116032
1475183364622710495,272976656
1475183364722710495,315795312
1475183364822710495,332810944
1475183364922710495,438931744
1475183365022710495,426997168
1475183365122710495,430589776
1475183365222710495,348753904
1475183365322710495,267605376
1475183365422710495,320466544
1475183365522710495,270699440
1475183365622710495,320851200
1475183365722710495,298594224
1475183365822710495,322865680
1475183365922710495,306281440
1475183366022710495,318112928
1475183366122710495,403197920
1475183366222710495,350177440
1475183366322710495,312584240
1475183366422710495,296452496
1475183366522710495,345348992
1475183366622710495,319522048
1475183366722710495,295966912
1475183366822710495,311580192
1475183366922710495,319182736
1475183367122710495,271513264
1475183367022710495,391390256
1475183367222710495,285563408
1475183367322710495,292662064
1475183367422710495,320044576
1475183367522710495,314428544
1475183367622710495,402016352
1475183367722710495,530573840
1475183367822710495,637424400
1475183367922710495,559028416
1475183368122710495,376611792
1475183368022710495,476780800
1475183368222710495,304456016
1475183368322710495,498217312
1475183368422710495,427604240
1475183368522710495,394874832
1475183368722710495,410083984
1475183368622710495,558079616
1475183368822710495,436317728
1475183368922710495,487960208
1475183369022710495,422375520
1475183369122710495,351038720
1475183369222710495,335206768
1475183369422710495,372319712
1475183369322710495,475051520
1475183369522710495,377948752
1475183369622710495,326474080
1475183369722710495,308655648
1475183369822710495,270470176
1475183369922710495,277152128
1475183370022710495,332513984
1475183370122710495,269654448
1475183370222710495,390661328
1475183370322710495,375080576
1475183370422710495,319324240
1475183370522710495,285926624
1475183370622710495,357607680
1475183370722710495,339078608
1475183370822710495,442857872
1475183370922710495,353154112
1475183371022710495,320337744
1475183371122710495,378579296
1475183371222710495,314393296
1475183371322710495,318892240
1475183371422710495,335478736
1475183371522710495,314827456
1475183371622710495,264824832
1475183371722710495,286258032
1475183371822710495,288487440
1475183371922710495,297286848
1475183372022710495,331288960
1475183372122710495,410008048
1475183372222710495,312934048
1475183372322710495,334747184
1475183372422710495,330247360
1475183372522710495,304559152
1475183372622710495,474669312
1475183372722710495,416313408
1475183372822710495,316478512
1475183372922710495,251116848
1475183373022710495,289318848
1475183373122710495,320570192
1475183373222710495,390927216
1475183373322710495,371865200
1475183373422710495,357216944
1475183373522710495,294390016
1475183373622710495,302846864
1475183373722710495,311692192
1475183373822710495,288678192
1475183373922710495,303219088
1475183374022710495,261866672
1475183374122710495,412797824
1475183374322710495,277805872
1475183374222710495,413905072
1475183374422710495,268170624
1475183374522710495,336182512
1475183374622710495,277151120
1475183374722710495,346956304
1475183374822710495,343149376
1475183374922710495,306974736
1475183375122710495,278183024
1475183375222710495,272840752
1475183375022710495,506967424
1475183375322710495,347674752
1475183375522710495,296270976
1475183375422710495,404959008
1475183375622710495,343300464
1475183375722710495,304735120
1475183375822710495,435114128
1475183375922710495,337267712
1475183376022710495,372272144
1475183376122710495,301298976
1475183376222710495,280122752
1475183376322710495,445270464
1475183376422710495,477401952
1475183376522710495,409927168
1475183376622710495,327139008
1475183376722710495,259488848
1475183376822710495,284971600
1475183376922710495,345629328
1475183377022710495,465724752
1475183377122710495,472169296
1475183377222710495,547986656
1475183377422710495,492232112
1475183377522710495,422813632
1475183377322710495,680760176
1475183377622710495,420798096
1475183377722710495,529542784
1475183377822710495,467267632
1475183377922710495,444868144
1475183378222710495,374131632
1475183378022710495,576555168
1475183378122710495,476711232
1475183378322710495,352773520
1475183378422710495,423093888
1475183378522710495,365300304
1475183378622710495,342571248
1475183378722710495,321808576
1475183378822710495,447525744
1475183378922710495,469600656
1475183379022710495,553172176
1475183379122710495,537456208
1475183379222710495,440160656
1475183379322710495,383566176
1475183379422710495,341749856
1475183379522710495,311630448
1475183379722710495,313455264
1475183379622710495,430782896
1475183379822710495,272199792
1475183380022710495,290494512
1475183379922710495,468330864
1475183380122710495,313186832
1475183380222710495,348710896
1475183380322710495,310799920
1475183380422710495,296740848
1475183380522710495,258204320
1475183380622710495,334161504
1475183380722710495,300473168
1475183380922710495,312923984
1475183380822710495,413231488
1475183381022710495,323156832
1475183381122710495,316134256
1475183381222710495,268690848
1475183381322710495,271850240
1475183381422710495,257825536
1475183381522710495,286865360
1475183381622710495,271689120
1475183381822710495,297014992
1475183381722710495,484432480
1475183381922710495,354304256
1475183382122710495,297991216
1475183382022710495,411667856
1475183382222710495,310325888
1475183382322710495,352319904
1475183382422710495,298006960
1475183382522710495,325270368
1475183382622710495,264464176
1475183382722710495,281049616
1475183382822710495,274115680
1475183383022710495,304485072
1475183383122710495,252894048
1475183382922710495,479030656
1475183383222710495,286906208
1475183383322710495,515829136
1475183383422710495,517112784
1475183383522710495,627833152
1475183383622710495,567156976
1475183383822710495,392526176
1475183383722710495,505822816
1475183383922710495,397623024
1475183384022710495,325302176
1475183384122710495,323078592
1475183384222710495,301908960
1475183384322710495,303127488
1475183384422710495,304764656
1475183384522710495,377939200
1475183384622710495,388808544
1475183384822710495,290217504
1475183384722710495,457163120
1475183384922710495,333959472
1475183385022710495,374058288
1475183385222710495,287657184
1475183385122710495,414767840
1475183385322710495,376770576
1475183385422710495,325943696
1475183385522710495,277960336
1475183385622710495,290280752
1475183385822710495,295576400
1475183385722710495,401432592
1475183385922710495,366193648
1475183386022710495,318417504
1475183386122710495,464902736
1475183386222710495,366230816
1475183386322710495,376222880
1475183386422710495,278366864
1475183386522710495,300647280
1475183386622710495,277314928
1475183386722710495,336781664
1475183386822710495,345950032
1475183386922710495,419551184
1475183387022710495,322294272
1475183387122710495,366390704
1475183387222710495,304627920
1475183387322710495,359128336
1475183387422710495,353755536
1475183387522710495,302421600
1475183387622710495,310553840
1475183387722710495,260822448
1475183387922710495,337550064
1475183387822710495,454426528
1475183388022710495,304417920
1475183388122710495,317516784
1475183388222710495,271397296
1475183388322710495,319730976
1475183388422710495,290293888
1475183388522710495,288953712
1475183388622710495,311983088
1475183388722710495,270645296
1475183388822710495,379420144
1475183388922710495,402972464
1475183389022710495,354380016
1475183389122710495,346887104
1475183389322710495,315409360
1475183389222710495,470506880
1475183389422710495,323081920
1475183389622710495,333073184
1475183389522710495,496919664
1475183389722710495,326069104
1475183389822710495,337457920
1475183389922710495,357515312
1475183390022710495,401112640
1475183390122710495,347479904
1475183390322710495,290828736
1475183390222710495,405724832
1475183390422710495,311850000
1475183390522710495,356167680
1475183390622710495,301633120
1475183390722710495,310401120
1475183390822710495,382020496
1475183390922710495,381227984
1475183391022710495,323642384
1475183391122710495,663336784
1475183391222710495,810388432
1475183391422710495,646018944
1475183391322710495,886797472
1475183391622710495,686954144
1475183391522710495,841263648
1475183391822710495,575189776
1475183391722710495,686055904
1475183391922710495,486109632
1475183392122710495,422291872
1475183392022710495,573969760
1475183392222710495,472632208
1475183392322710495,417016752
1475183392422710495,392714368
1475183392522710495,345510112
1475183392722710495,321034448
1475183392822710495,366451344
1475183392622710495,582904576
1475183392922710495,403792560
1475183393022710495,482575424
1475183393122710495,428904976
1475183393222710495,332779984
1475183393322710495,344888496
1475183393422710495,364153920
1475183393522710495,374015952
1475183393622710495,305539664
1475183393722710495,357920896
1475183393922710495,335129936
1475183393822710495,501174560
1475183394022710495,363156160
1475183394122710495,414789328
1475183394222710495,366362864
1475183394322710495,316261808
1475183394422710495,302450928
1475183394522710495,301814624
1475183394622710495,328682816
1475183394722710495,287633888
1475183394822710495,310232224
1475183394922710495,292916288
1475183395022710495,271225664
1475183395122710495,403469552
1475183395222710495,398967760
1475183395322710495,332039920
1475183395422710495,359963648
1475183395522710495,367813264
1475183395722710495,269585744
1475183395622710495,404244256
1475183395822710495,294695008
1475183395922710495,450667072
1475183396022710495,353206400
1475183396122710495,321166496
1475183396222710495,322469568
1475183396322710495,313499904
1475183396422710495,309623936
1475183396522710495,282754304
1475183396622710495,281049920
1475183396722710495,320992304
1475183396822710495,288369264
1475183396922710495,295902704
1475183397022710495,320129392
1475183397122710495,317552080
1475183397222710495,263126768
1475183397322710495,308164608
1475183397422710495,298452144
1475183397522710495,288569056
1475183397622710495,305111504
1475183397722710495,283226672
1475183397822710495,283041168
1475183397922710495,314477872
1475183398022710495,276709648
1475183398122710495,271487728
1475183398222710495,343750544
1475183398322710495,302704976
1475183398422710495,317289792
1475183398522710495,273040960
1475183398722710495,273115808
1475183398622710495,401607072
1475183398822710495,305420768
1475183398922710495,358702112
1475183399022710495,371726240
1475183399122710495,316240896
1475183399222710495,359346256
1475183399322710495,273896624
1475183399422710495,319994624
1475183399522710495,246471312
1475183399622710495,294309968
1475183399722710495,323398752
1475183399822710495,377464416
1475183399922710495,380369264
1475183400022710495,326576768
1475183400122710495,339350640
1475183400222710495,373686000
1475183400322710495,327402848
1475183400422710495,450226432
1475183400522710495,510304784
1475183400622710495,429529728
1475183400822710495,329960880
1475183400722710495,457791072
1475183400922710495,279088512
1475183401022710495,309390848
1475183401122710495,253082320
1475183401222710495,290911248
1475183401322710495,315779600
1475183401422710495,280553584
1475183401522710495,286790272
1475183401622710495,305177920
1475183401722710495,271260256
1475183401822710495,295911760
1475183401922710495,367341888
1475183402022710495,292530576
1475183402122710495,517580592
1475183402222710495,479329408
1475183402322710495,494650576
1475183402522710495,318649392
1475183402422710495,442129680
1475183402622710495,363393104
1475183402722710495,298094640
1475183402822710495,275092480
1475183402922710495,375872928
1475183403022710495,331985520
1475183403122710495,371318192
1475183403222710495,403555984
1475183403322710495,365781808
1475183403422710495,295615296
1475183403522710495,264571232
1475183403722710495,306600608
1475183403622710495,407883824
1475183403822710495,377213680
1475183404122710495,365271776
1475183404022710495,473973376
1475183404222710495,299929472
1475183403922710495,612024080
1475183404322710495,329163152
1475183404422710495,291613216
1475183404522710495,351272480
1475183404722710495,325382592
1475183404622710495,514501680
1475183404822710495,367195296
1475183404922710495,288509504
1475183405022710495,319935136
1475183405122710495,303383664
1475183405222710495,304548048
1475183405322710495,298418912
1475183405522710495,283228400
1475183405422710495,432996960
1475183405622710495,289327184
1475183405722710495,273378352
1475183405822710495,260077104
1475183405922710495,375180528
1475183406022710495,370005728
1475183406122710495,371892960
